"","id","bf1","bf2","bf3","bf4","bf5","bf6","bf7","bf8","bf9","bf10","age","nation","school","gender"
"88",88,2,5,3,3,3,5,3,4,3,3,25,"1",3,"weiblich"
"89",89,5,4,4,4,4,5,4,4,4,3,26,"1",3,"weiblich"
"90",90,5,5,3,5,3,5,3,4,3,4,28,"1",3,"männlich"
"91",91,4,4,2,5,3,4,1,3,3,5,28,"1",3,"männlich"
"92",92,3,3,3,5,3,4,3,3,3,5,24,"1",3,"männlich"
"93",93,2,4,3,4,4,3,3,5,3,4,24,"1",3,"männlich"
"94",94,3,4,4,5,3,3,4,5,4,5,27,"1",3,"weiblich"
"95",95,5,4,2,3,2,5,3,2,2,3,25,"1",3,"männlich"
"96",96,4,4,3,2,4,4,3,4,4,2,18,"1",3,"männlich"
"97",97,3,3,2,5,2,3,2,4,2,4,25,"1",3,"männlich"
"98",98,4,4,4,3,4,3,4,4,4,4,23,"1",3,"männlich"
"99",99,2,4,3,4,5,3,3,5,5,3,31,"1",3,"weiblich"
"100",100,3,2,3,3,4,4,2,2,4,3,25,"1",3,"männlich"
"101",101,3,5,3,4,4,4,3,4,4,4,27,"1",3,"männlich"
"102",102,4,5,3,4,4,4,3,4,4,4,18,"1",3,"männlich"
"103",103,3,4,5,1,4,4,5,3,4,1,22,"1",3,"weiblich"
"104",104,4,3,4,2,4,4,5,2,4,3,19,"1",3,"männlich"
"105",106,2,3,2,4,5,2,2,4,5,4,22,"1",3,"weiblich"
"106",107,3,3,2,4,2,3,2,2,2,4,21,"1",3,"männlich"
"107",108,4,5,3,5,3,5,2,4,3,3,22,"1",3,"männlich"
"108",109,5,4,4,5,4,5,4,5,4,5,27,"1",3,"männlich"
"109",110,4,3,4,5,4,3,3,4,3,4,20,"1",3,"männlich"
"110",111,5,5,5,5,5,4,4,5,5,5,21,"1",3,"männlich"
"111",112,5,4,2,5,3,4,3,4,3,4,25,"1",3,"männlich"
"112",113,5,4,4,2,4,5,4,4,4,3,21,"1",3,"männlich"
"113",114,4,5,2,4,4,4,2,5,4,3,30,"1",3,"weiblich"
"114",115,3,5,3,4,3,4,3,5,3,5,22,"1",3,"männlich"
"115",116,5,3,5,3,5,4,5,4,5,4,18,"1",3,"männlich"
"116",117,2,4,3,4,4,2,4,4,4,4,27,"1",3,"männlich"
"117",118,5,3,2,5,4,3,2,3,4,5,20,"1",3,"männlich"
